image_path,class,xmin,ymin,xmax,ymax
train_images\10ABC.jpg,14,118,214,137,237
train_images\10ABC.jpg,14,119,253,137,276
train_images\10ABC.jpg,14,120,289,137,311
train_images\10ABC.jpg,14,120,323,137,347
train_images\10ABC.jpg,14,120,359,135,382
train_images\10ABC.jpg,14,120,400,136,422
train_images\10ABC.jpg,14,120,435,136,458
train_images\10ABC.jpg,14,119,474,136,497
train_images\10ABC.jpg,14,119,512,136,537
train_images\10ABC.jpg,14,119,550,136,577
train_images\10ABC.jpg,14,118,588,136,614
train_images\10ABC.jpg,14,121,629,137,655
train_images\10ABC.jpg,14,119,666,135,689
train_images\10ABC.jpg,14,120,704,136,727
train_images\10ABC.jpg,14,118,741,135,766
train_images\10ABC.jpg,14,120,782,136,809
train_images\10ABC.jpg,14,122,818,138,842
train_images\10ABC.jpg,145,141,818,154,843
train_images\10ABC.jpg,145,140,782,154,804
train_images\10ABC.jpg,145,139,741,154,764
train_images\10ABC.jpg,145,138,703,155,728
train_images\10ABC.jpg,145,139,666,155,690
train_images\10ABC.jpg,145,140,628,153,651
train_images\10ABC.jpg,145,139,587,154,613
train_images\10ABC.jpg,145,139,550,153,574
train_images\10ABC.jpg,145,140,512,154,537
train_images\10ABC.jpg,145,140,475,154,498
train_images\10ABC.jpg,145,139,434,153,456
train_images\10ABC.jpg,145,140,398,156,422
train_images\10ABC.jpg,145,139,359,154,385
train_images\10ABC.jpg,145,141,144,156,166
train_images\10ABC.jpg,145,140,181,154,202
train_images\10ABC.jpg,145,140,215,155,236
train_images\10ABC.jpg,145,140,253,154,276
train_images\10ABC.jpg,145,139,289,153,312
train_images\10ABC.jpg,145,140,323,154,345
train_images\10ABC.jpg,145,157,111,173,132
train_images\10ABC.jpg,15,175,111,191,133
train_images\10ABC.jpg,15,156,144,172,166
train_images\10ABC.jpg,15,156,180,172,202
train_images\10ABC.jpg,15,157,217,171,238
train_images\10ABC.jpg,15,157,254,170,274
train_images\10ABC.jpg,15,156,290,171,309
train_images\10ABC.jpg,15,157,326,170,345
train_images\10ABC.jpg,15,157,362,172,384
train_images\10ABC.jpg,15,158,400,171,418
train_images\10ABC.jpg,15,155,436,171,457
train_images\10ABC.jpg,15,157,477,172,496
train_images\10ABC.jpg,15,157,514,172,536
train_images\10ABC.jpg,15,155,551,172,574
train_images\10ABC.jpg,15,156,590,172,614
train_images\10ABC.jpg,15,156,628,172,649
train_images\10ABC.jpg,15,158,667,172,688
train_images\10ABC.jpg,15,157,704,172,726
train_images\10ABC.jpg,15,157,742,172,765
train_images\10ABC.jpg,15,158,782,173,803
train_images\10ABC.jpg,15,158,820,173,842
train_images\10ABC.jpg,124,176,820,191,843
train_images\10ABC.jpg,124,175,780,191,803
train_images\10ABC.jpg,124,174,742,191,764
train_images\10ABC.jpg,124,175,704,190,726
train_images\10ABC.jpg,124,175,668,191,688
train_images\10ABC.jpg,124,174,627,191,649
train_images\10ABC.jpg,124,175,590,191,612
train_images\10ABC.jpg,124,175,552,192,573
train_images\10ABC.jpg,124,174,514,190,536
train_images\10ABC.jpg,124,174,476,189,497
train_images\10ABC.jpg,124,174,437,189,457
train_images\10ABC.jpg,124,174,363,190,383
train_images\10ABC.jpg,124,174,400,191,421
train_images\10ABC.jpg,124,174,327,190,345
train_images\10ABC.jpg,124,174,253,188,272
train_images\10ABC.jpg,124,173,289,190,310
train_images\10ABC.jpg,124,175,145,189,166
train_images\10ABC.jpg,124,174,180,188,200
train_images\10ABC.jpg,124,174,217,187,236
train_images\10ABC.jpg,1245,211,111,224,132
train_images\10ABC.jpg,1245,192,145,207,165
train_images\10ABC.jpg,124,193,111,207,134
train_images\10ABC.jpg,1245,190,179,207,201
train_images\10ABC.jpg,1245,191,217,206,238
train_images\10ABC.jpg,1245,190,252,207,275
train_images\10ABC.jpg,1245,192,289,207,309
train_images\10ABC.jpg,1245,192,326,207,346
train_images\10ABC.jpg,1245,192,363,207,385
train_images\10ABC.jpg,1245,194,399,207,422
train_images\10ABC.jpg,1245,192,435,208,458
train_images\10ABC.jpg,1245,192,474,208,500
train_images\10ABC.jpg,1245,192,514,207,535
train_images\10ABC.jpg,1245,194,552,209,574
train_images\10ABC.jpg,1245,193,589,209,612
train_images\10ABC.jpg,1245,193,628,209,651
train_images\10ABC.jpg,1245,192,664,208,687
train_images\10ABC.jpg,1245,193,705,208,724
train_images\10ABC.jpg,1245,194,741,208,764
train_images\10ABC.jpg,1245,194,780,208,801
train_images\10ABC.jpg,1245,194,820,210,842
train_images\10ABC.jpg,125,212,820,227,843
train_images\10ABC.jpg,125,211,742,227,762
train_images\10ABC.jpg,125,211,703,227,723
train_images\10ABC.jpg,125,212,664,226,684
train_images\10ABC.jpg,125,213,782,227,802
train_images\10ABC.jpg,125,211,627,226,648
train_images\10ABC.jpg,125,212,589,227,610
train_images\10ABC.jpg,125,211,477,225,499
train_images\10ABC.jpg,125,211,514,226,534
train_images\10ABC.jpg,125,212,552,226,574
train_images\10ABC.jpg,125,211,435,226,458
train_images\10ABC.jpg,125,211,398,225,419
train_images\10ABC.jpg,125,209,362,225,385
train_images\10ABC.jpg,125,209,325,224,346
train_images\10ABC.jpg,125,210,288,224,308
train_images\10ABC.jpg,125,210,146,224,164
train_images\10ABC.jpg,125,209,181,223,201
train_images\10ABC.jpg,125,208,215,223,237
train_images\10ABC.jpg,125,209,253,223,274
train_images\10ABC.jpg,125,228,111,241,132
train_images\10ABC.jpg,24,227,145,243,164
train_images\10ABC.jpg,24,225,180,242,201
train_images\10ABC.jpg,24,245,110,259,131
train_images\10ABC.jpg,24,225,216,242,236
train_images\10ABC.jpg,24,227,287,242,308
train_images\10ABC.jpg,24,225,252,242,273
train_images\10ABC.jpg,24,227,362,242,385
train_images\10ABC.jpg,24,229,325,242,347
train_images\10ABC.jpg,24,228,398,243,420
train_images\10ABC.jpg,24,230,436,244,457
train_images\10ABC.jpg,24,230,514,244,536
train_images\10ABC.jpg,24,229,549,245,572
train_images\10ABC.jpg,24,230,477,243,495
train_images\10ABC.jpg,24,231,589,245,611
train_images\10ABC.jpg,24,229,665,244,686
train_images\10ABC.jpg,24,230,740,245,764
train_images\10ABC.jpg,24,230,703,244,725
train_images\10ABC.jpg,24,231,781,245,802
train_images\10ABC.jpg,24,232,820,245,843
train_images\10ABC.jpg,245,250,821,264,841
train_images\10ABC.jpg,245,249,781,263,802
train_images\10ABC.jpg,245,248,702,263,726
train_images\10ABC.jpg,24,230,626,245,648
train_images\10ABC.jpg,245,248,663,263,686
train_images\10ABC.jpg,245,248,589,264,613
train_images\10ABC.jpg,245,249,626,264,646
train_images\10ABC.jpg,245,248,743,264,765
train_images\10ABC.jpg,245,248,549,264,573
train_images\10ABC.jpg,245,247,476,263,497
train_images\10ABC.jpg,245,249,513,263,535
train_images\10ABC.jpg,245,246,437,263,458
train_images\10ABC.jpg,245,247,397,261,421
train_images\10ABC.jpg,245,245,361,260,385
train_images\10ABC.jpg,245,245,285,260,308
train_images\10ABC.jpg,245,244,324,261,346
train_images\10ABC.jpg,245,244,251,260,273
train_images\10ABC.jpg,245,245,214,260,237
train_images\10ABC.jpg,245,262,112,278,131
train_images\10ABC.jpg,245,245,147,258,167
train_images\10ABC.jpg,245,244,180,260,200
train_images\10ABC.jpg,13,280,112,289,135
train_images\10ABC.jpg,13,261,147,271,170
train_images\10ABC.jpg,13,262,179,271,205
train_images\10ABC.jpg,13,263,213,270,240
train_images\10ABC.jpg,13,263,252,271,277
train_images\10ABC.jpg,13,262,288,272,313
train_images\10ABC.jpg,13,263,324,273,351
train_images\10ABC.jpg,13,264,361,274,387
train_images\10ABC.jpg,13,264,397,274,424
train_images\10ABC.jpg,13,265,437,273,463
train_images\10ABC.jpg,13,266,476,274,502
train_images\10ABC.jpg,13,266,512,277,540
train_images\10ABC.jpg,13,267,627,275,653
train_images\10ABC.jpg,13,267,548,274,577
train_images\10ABC.jpg,13,266,587,277,615
train_images\10ABC.jpg,13,267,663,275,690
train_images\10ABC.jpg,13,266,705,275,729
train_images\10ABC.jpg,13,267,743,277,769
train_images\10ABC.jpg,13,267,781,275,807
train_images\10ABC.jpg,13,267,820,277,846
train_images\10ABC.jpg,123,285,819,294,844
train_images\10ABC.jpg,123,284,781,296,809
train_images\10ABC.jpg,123,286,743,295,769
train_images\10ABC.jpg,123,284,703,293,730
train_images\10ABC.jpg,123,284,627,296,652
train_images\10ABC.jpg,123,283,665,295,690
train_images\10ABC.jpg,123,281,551,292,577
train_images\10ABC.jpg,123,283,590,295,615
train_images\10ABC.jpg,123,281,512,294,540
train_images\10ABC.jpg,123,279,474,292,503
train_images\10ABC.jpg,123,280,399,293,427
train_images\10ABC.jpg,123,281,436,294,464
train_images\10ABC.jpg,123,279,324,292,351
train_images\10ABC.jpg,123,279,360,293,386
train_images\10ABC.jpg,123,281,288,291,315
train_images\10ABC.jpg,123,277,252,290,280
train_images\10ABC.jpg,123,278,217,291,242
train_images\10ABC.jpg,123,278,145,288,169
train_images\10ABC.jpg,123,278,181,288,206
train_images\10ABC.jpg,123,293,110,306,136
train_images\10ABC.jpg,134,313,111,328,136
train_images\10ABC.jpg,134,296,146,311,168
train_images\10ABC.jpg,134,297,216,312,242
train_images\10ABC.jpg,134,296,181,312,205
train_images\10ABC.jpg,134,295,251,313,278
train_images\10ABC.jpg,134,297,287,315,313
train_images\10ABC.jpg,134,299,362,314,389
train_images\10ABC.jpg,134,298,324,314,349
train_images\10ABC.jpg,134,299,436,315,464
train_images\10ABC.jpg,134,299,400,315,426
train_images\10ABC.jpg,134,301,477,315,502
train_images\10ABC.jpg,134,301,512,316,540
train_images\10ABC.jpg,134,300,551,318,576
train_images\10ABC.jpg,134,302,627,318,653
train_images\10ABC.jpg,134,299,588,317,614
train_images\10ABC.jpg,134,301,665,318,690
train_images\10ABC.jpg,134,302,702,318,729
train_images\10ABC.jpg,134,303,741,318,769
train_images\10ABC.jpg,134,304,779,319,808
train_images\10ABC.jpg,134,302,819,319,845
train_images\10ABC.jpg,1345,331,110,348,136
train_images\10ABC.jpg,1345,315,179,330,204
train_images\10ABC.jpg,1345,316,145,330,170
train_images\10ABC.jpg,1345,315,253,332,278
train_images\10ABC.jpg,1345,316,215,329,241
train_images\10ABC.jpg,1345,317,288,331,314
train_images\10ABC.jpg,1345,317,324,331,350
train_images\10ABC.jpg,1345,317,362,332,388
train_images\10ABC.jpg,1345,318,436,333,464
train_images\10ABC.jpg,1345,317,397,334,424
train_images\10ABC.jpg,1345,318,475,334,502
train_images\10ABC.jpg,1345,320,550,335,576
train_images\10ABC.jpg,1345,319,510,334,539
train_images\10ABC.jpg,1345,320,586,336,613
train_images\10ABC.jpg,1345,321,625,336,652
train_images\10ABC.jpg,1345,320,664,337,690
train_images\10ABC.jpg,1345,321,703,337,727
train_images\10ABC.jpg,1345,321,818,338,843
train_images\10ABC.jpg,1345,322,779,338,807
train_images\10ABC.jpg,1345,321,743,339,769
train_images\10ABC.jpg,1345,367,111,381,133
train_images\10ABC.jpg,1345,348,145,364,169
train_images\10ABC.jpg,1345,349,180,364,205
train_images\10ABC.jpg,1345,350,252,364,276
train_images\10ABC.jpg,1345,351,289,366,312
train_images\10ABC.jpg,1345,350,216,365,238
train_images\10ABC.jpg,1345,350,323,366,350
train_images\10ABC.jpg,1345,352,400,367,425
train_images\10ABC.jpg,1345,351,360,367,384
train_images\10ABC.jpg,1345,354,435,368,462
train_images\10ABC.jpg,1345,354,475,369,501
train_images\10ABC.jpg,1345,355,512,370,537
train_images\10ABC.jpg,1345,355,550,370,576
train_images\10ABC.jpg,1345,356,588,372,613
train_images\10ABC.jpg,1345,356,625,371,650
train_images\10ABC.jpg,1345,356,663,371,688
train_images\10ABC.jpg,1345,357,703,372,727
train_images\10ABC.jpg,1345,358,741,374,766
train_images\10ABC.jpg,1345,357,818,375,845
train_images\10ABC.jpg,1345,359,780,375,806
train_images\10ABC.jpg,4,340,817,354,842
train_images\10ABC.jpg,4,341,778,356,806
train_images\10ABC.jpg,4,342,741,354,770
train_images\10ABC.jpg,4,340,665,352,690
train_images\10ABC.jpg,4,338,626,353,653
train_images\10ABC.jpg,4,338,588,354,614
train_images\10ABC.jpg,4,339,546,354,576
train_images\10ABC.jpg,4,337,510,353,539
train_images\10ABC.jpg,4,336,475,351,503
train_images\10ABC.jpg,4,336,435,353,463
train_images\10ABC.jpg,4,336,398,350,424
train_images\10ABC.jpg,4,335,360,349,389
train_images\10ABC.jpg,4,335,324,349,350
train_images\10ABC.jpg,4,334,287,349,314
train_images\10ABC.jpg,4,333,252,348,278
train_images\10ABC.jpg,4,333,180,347,204
train_images\10ABC.jpg,4,331,216,347,238
train_images\10ABC.jpg,4,332,144,346,167
train_images\10ABC.jpg,4,350,110,364,131
train_images\10ABC.jpg,135,384,110,398,133
train_images\10ABC.jpg,135,367,146,381,168
train_images\10ABC.jpg,135,367,180,382,203
train_images\10ABC.jpg,135,367,215,383,237
train_images\10ABC.jpg,135,367,249,382,275
train_images\10ABC.jpg,135,369,287,384,313
train_images\10ABC.jpg,135,368,324,384,349
train_images\10ABC.jpg,135,369,359,385,385
train_images\10ABC.jpg,135,371,398,385,423
train_images\10ABC.jpg,135,371,475,388,501
train_images\10ABC.jpg,135,372,435,387,460
train_images\10ABC.jpg,135,372,512,387,538
train_images\10ABC.jpg,135,373,549,388,574
train_images\10ABC.jpg,135,375,663,390,688
train_images\10ABC.jpg,135,374,701,389,727
train_images\10ABC.jpg,135,374,588,388,611
train_images\10ABC.jpg,135,373,626,390,650
train_images\10ABC.jpg,135,376,741,391,765
train_images\10ABC.jpg,135,378,779,391,807
train_images\10ABC.jpg,135,376,818,392,846
train_images\10ABC.jpg,4,340,703,355,728
train_images\10ABC.jpg,1234,401,108,415,136
train_images\10ABC.jpg,1234,384,143,400,167
train_images\10ABC.jpg,1234,385,179,400,203
train_images\10ABC.jpg,1234,386,215,401,237
train_images\10ABC.jpg,1234,384,250,402,274
train_images\10ABC.jpg,1234,387,286,401,310
train_images\10ABC.jpg,1234,387,361,403,386
train_images\10ABC.jpg,1234,387,324,402,347
train_images\10ABC.jpg,1234,387,398,403,422
train_images\10ABC.jpg,1234,388,435,404,459
train_images\10ABC.jpg,1234,389,474,405,499
train_images\10ABC.jpg,1234,390,512,404,538
train_images\10ABC.jpg,1234,390,548,405,573
train_images\10ABC.jpg,1234,392,624,407,650
train_images\10ABC.jpg,1234,390,587,406,612
train_images\10ABC.jpg,1234,392,663,409,687
train_images\10ABC.jpg,1234,392,702,409,727
train_images\10ABC.jpg,1234,394,740,410,765
train_images\10ABC.jpg,1234,395,780,411,805
train_images\10ABC.jpg,1234,395,818,411,844
train_images\10ABC.jpg,12345,415,818,430,843
train_images\10ABC.jpg,12345,413,778,430,805
train_images\10ABC.jpg,12345,412,739,429,764
train_images\10ABC.jpg,12345,412,701,427,726
train_images\10ABC.jpg,12345,411,662,426,686
train_images\10ABC.jpg,12345,410,624,426,649
train_images\10ABC.jpg,12345,409,586,425,611
train_images\10ABC.jpg,12345,409,548,425,574
train_images\10ABC.jpg,12345,408,511,423,536
train_images\10ABC.jpg,12345,408,476,422,498
train_images\10ABC.jpg,12345,406,434,422,460
train_images\10ABC.jpg,12345,406,398,422,422
train_images\10ABC.jpg,12345,406,361,421,387
train_images\10ABC.jpg,12345,405,324,421,348
train_images\10ABC.jpg,12345,405,286,420,312
train_images\10ABC.jpg,12345,403,250,418,274
train_images\10ABC.jpg,12345,403,215,417,238
train_images\10ABC.jpg,12345,402,179,417,203
train_images\10ABC.jpg,12345,402,144,417,167
train_images\10ABC.jpg,12345,419,111,433,133
train_images\10ABC.jpg,1235,435,110,450,134
train_images\10ABC.jpg,1235,420,144,433,167
train_images\10ABC.jpg,1235,419,179,434,204
train_images\10ABC.jpg,1235,419,214,436,238
train_images\10ABC.jpg,1235,423,288,437,311
train_images\10ABC.jpg,1235,421,249,436,275
train_images\10ABC.jpg,1235,424,323,438,348
train_images\10ABC.jpg,1235,423,361,438,386
train_images\10ABC.jpg,1235,424,396,438,422
train_images\10ABC.jpg,1235,427,510,440,537
train_images\10ABC.jpg,1235,426,435,440,461
train_images\10ABC.jpg,1235,426,548,442,573
train_images\10ABC.jpg,1235,428,587,442,613
train_images\10ABC.jpg,1235,429,624,444,649
train_images\10ABC.jpg,1235,430,661,444,689
train_images\10ABC.jpg,1235,430,701,445,727
train_images\10ABC.jpg,1235,433,776,446,804
train_images\10ABC.jpg,1235,432,816,448,846
train_images\10ABC.jpg,1235,431,739,446,765
train_images\10ABC.jpg,234,437,144,452,166
train_images\10ABC.jpg,234,437,180,452,203
train_images\10ABC.jpg,234,438,215,453,239
train_images\10ABC.jpg,234,438,249,454,275
train_images\10ABC.jpg,234,438,287,455,313
train_images\10ABC.jpg,234,440,324,455,347
train_images\10ABC.jpg,234,440,361,456,385
train_images\10ABC.jpg,234,442,435,459,459
train_images\10ABC.jpg,234,441,475,458,499
train_images\10ABC.jpg,234,442,511,460,537
train_images\10ABC.jpg,234,444,586,462,612
train_images\10ABC.jpg,234,443,550,461,573
train_images\10ABC.jpg,234,446,623,462,648
train_images\10ABC.jpg,234,445,661,463,688
train_images\10ABC.jpg,234,446,700,464,726
train_images\10ABC.jpg,234,447,740,464,765
train_images\10ABC.jpg,234,450,817,467,845
train_images\10ABC.jpg,2345,470,776,484,802
train_images\10ABC.jpg,2345,470,818,486,842
train_images\10ABC.jpg,234,448,777,466,805
train_images\10ABC.jpg,2345,466,740,484,766
train_images\10ABC.jpg,2345,466,700,483,726
train_images\10ABC.jpg,2345,465,660,481,688
train_images\10ABC.jpg,2345,463,623,480,647
train_images\10ABC.jpg,2345,463,587,479,610
train_images\10ABC.jpg,2345,463,549,478,573
train_images\10ABC.jpg,2345,460,474,476,498
train_images\10ABC.jpg,2345,462,508,477,536
train_images\10ABC.jpg,2345,461,434,476,458
train_images\10ABC.jpg,234,441,396,457,422
train_images\10ABC.jpg,2345,459,396,475,423
train_images\10ABC.jpg,2345,459,359,474,385
train_images\10ABC.jpg,2345,460,324,474,347
train_images\10ABC.jpg,2345,457,286,473,311
train_images\10ABC.jpg,2345,455,249,473,275
train_images\10ABC.jpg,2345,455,215,472,237
train_images\10ABC.jpg,2345,456,144,471,168
train_images\10ABC.jpg,2345,454,180,469,203
train_images\10ABC.jpg,136,471,111,485,134
train_images\10ABC.jpg,136,472,179,487,204
train_images\10ABC.jpg,136,474,215,487,238
train_images\10ABC.jpg,136,475,249,489,274
train_images\10ABC.jpg,136,475,286,489,311
train_images\10ABC.jpg,136,477,322,491,347
train_images\10ABC.jpg,136,477,396,492,421
train_images\10ABC.jpg,136,476,358,492,385
train_images\10ABC.jpg,136,479,434,493,459
train_images\10ABC.jpg,136,478,473,494,497
train_images\10ABC.jpg,136,479,510,495,536
train_images\10ABC.jpg,136,481,548,496,573
train_images\10ABC.jpg,136,481,622,497,649
train_images\10ABC.jpg,136,482,586,496,612
train_images\10ABC.jpg,136,485,661,498,686
train_images\10ABC.jpg,136,486,700,500,726
train_images\10ABC.jpg,136,486,739,501,765
train_images\10ABC.jpg,136,488,776,502,803
train_images\10ABC.jpg,136,488,817,502,843
train_images\10ABC.jpg,1236,506,815,520,842
train_images\10ABC.jpg,1236,505,777,519,803
train_images\10ABC.jpg,1236,504,739,519,763
train_images\10ABC.jpg,1236,503,701,519,726
train_images\10ABC.jpg,1236,500,659,517,687
train_images\10ABC.jpg,1236,500,623,515,650
train_images\10ABC.jpg,1236,499,586,516,611
train_images\10ABC.jpg,1236,499,547,514,573
train_images\10ABC.jpg,1236,497,511,511,535
train_images\10ABC.jpg,1236,498,473,513,498
train_images\10ABC.jpg,1236,497,434,512,458
train_images\10ABC.jpg,1236,496,395,510,421
train_images\10ABC.jpg,1236,495,360,509,384
train_images\10ABC.jpg,1236,493,322,509,345
train_images\10ABC.jpg,1236,494,286,508,310
train_images\10ABC.jpg,1236,490,213,505,236
train_images\10ABC.jpg,1236,493,250,507,275
train_images\10ABC.jpg,1236,489,179,504,201
train_images\10ABC.jpg,1236,489,144,503,167
train_images\10ABC.jpg,2456,507,145,521,167
train_images\10ABC.jpg,2456,508,215,524,238
train_images\10ABC.jpg,2456,507,178,523,204
train_images\10ABC.jpg,2456,509,250,525,273
train_images\10ABC.jpg,2456,511,286,526,308
train_images\10ABC.jpg,2456,511,323,527,346
train_images\10ABC.jpg,2456,512,360,529,384
train_images\10ABC.jpg,2456,512,395,528,420
train_images\10ABC.jpg,2456,515,433,530,457
train_images\10ABC.jpg,2456,515,473,530,497
train_images\10ABC.jpg,2456,516,548,532,573
train_images\10ABC.jpg,2456,515,510,530,534
train_images\10ABC.jpg,2456,519,586,533,609
train_images\10ABC.jpg,2456,519,661,536,687
train_images\10ABC.jpg,2456,518,623,533,647
train_images\10ABC.jpg,2456,521,701,538,724
train_images\10ABC.jpg,2456,522,740,538,764
train_images\10ABC.jpg,2456,522,777,538,801
train_images\10ABC.jpg,2456,522,814,538,842
train_images\10ABC.jpg,1346,542,815,559,841
train_images\10ABC.jpg,1346,542,778,556,801
train_images\10ABC.jpg,1346,536,621,552,649
train_images\10ABC.jpg,1346,538,661,554,686
train_images\10ABC.jpg,1346,539,700,555,725
train_images\10ABC.jpg,1346,540,738,555,763
train_images\10ABC.jpg,1346,534,583,551,611
train_images\10ABC.jpg,1346,534,547,550,574
train_images\10ABC.jpg,1346,532,509,548,534
train_images\10ABC.jpg,1346,532,471,549,497
train_images\10ABC.jpg,1346,531,433,547,457
train_images\10ABC.jpg,1346,531,395,547,421
train_images\10ABC.jpg,1346,530,321,544,347
train_images\10ABC.jpg,1346,529,358,544,382
train_images\10ABC.jpg,1346,527,284,543,310
train_images\10ABC.jpg,1346,527,249,542,273
train_images\10ABC.jpg,1346,522,110,537,133
train_images\10ABC.jpg,1346,524,143,539,165
train_images\10ABC.jpg,1346,526,213,541,241
train_images\10ABC.jpg,1346,524,177,539,202
train_images\10ABC.jpg,136,473,143,487,167
train_images\10ABC.jpg,1236,488,110,501,134
train_images\10ABC.jpg,2456,504,108,519,135
train_images\10ABC.jpg,13456,539,109,555,132
train_images\10ABC.jpg,13456,541,143,556,167
train_images\10ABC.jpg,13456,541,177,558,204
train_images\10ABC.jpg,13456,542,213,559,239
train_images\10ABC.jpg,13456,544,249,561,274
train_images\10ABC.jpg,13456,546,284,562,309
train_images\10ABC.jpg,13456,546,321,561,346
train_images\10ABC.jpg,13456,550,395,564,419
train_images\10ABC.jpg,13456,549,432,565,456
train_images\10ABC.jpg,13456,546,357,563,383
train_images\10ABC.jpg,13456,551,471,565,497
train_images\10ABC.jpg,13456,551,509,566,534
train_images\10ABC.jpg,13456,553,622,570,649
train_images\10ABC.jpg,13456,553,547,568,571
train_images\10ABC.jpg,13456,556,661,571,686
train_images\10ABC.jpg,13456,557,699,572,725
train_images\10ABC.jpg,13456,558,737,575,765
train_images\10ABC.jpg,13456,560,776,574,803
train_images\10ABC.jpg,13456,561,814,576,843
train_images\10ABC.jpg,1356,578,814,595,841
train_images\10ABC.jpg,1356,577,737,591,765
train_images\10ABC.jpg,1356,577,776,593,802
train_images\10ABC.jpg,1356,575,700,591,725
train_images\10ABC.jpg,1356,573,659,589,687
train_images\10ABC.jpg,1356,571,585,586,609
train_images\10ABC.jpg,1356,574,623,588,651
train_images\10ABC.jpg,13456,553,583,568,610
train_images\10ABC.jpg,1356,570,547,586,572
train_images\10ABC.jpg,1356,568,509,584,534
train_images\10ABC.jpg,1356,567,430,581,456
train_images\10ABC.jpg,1356,566,357,581,382
train_images\10ABC.jpg,1356,569,471,585,497
train_images\10ABC.jpg,1356,567,395,582,421
train_images\10ABC.jpg,1356,563,321,581,345
train_images\10ABC.jpg,1356,564,284,578,312
train_images\10ABC.jpg,1356,562,249,578,275
train_images\10ABC.jpg,1356,560,212,575,238
train_images\10ABC.jpg,1356,557,110,571,134
train_images\10ABC.jpg,1356,559,145,573,169
train_images\10ABC.jpg,1356,560,178,574,203
train_images\11ABC.jpg,1,88,112,97,130
train_images\11ABC.jpg,1,84,220,97,237
train_images\11ABC.jpg,1,88,184,97,202
train_images\11ABC.jpg,1,86,149,95,165
train_images\11ABC.jpg,1,82,255,95,272
train_images\11ABC.jpg,1,84,290,93,307
train_images\11ABC.jpg,1,84,327,93,347
train_images\11ABC.jpg,1,84,364,93,382
train_images\11ABC.jpg,1,82,399,93,416
train_images\11ABC.jpg,1,82,438,93,456
train_images\11ABC.jpg,1,82,478,93,497
train_images\11ABC.jpg,1,84,517,92,532
train_images\11ABC.jpg,1,84,554,93,568
train_images\11ABC.jpg,1,82,592,92,609
train_images\11ABC.jpg,1,82,629,92,646
train_images\11ABC.jpg,1,81,668,92,684
train_images\11ABC.jpg,1,84,707,93,723
train_images\11ABC.jpg,1,82,743,93,764
train_images\11ABC.jpg,1,84,821,93,841
train_images\11ABC.jpg,1,84,780,93,802
train_images\11ABC.jpg,12,101,821,112,845
train_images\11ABC.jpg,12,103,780,112,806
train_images\11ABC.jpg,12,101,743,112,769
train_images\11ABC.jpg,12,99,705,112,729
train_images\11ABC.jpg,12,101,666,114,692
train_images\11ABC.jpg,12,99,625,112,653
train_images\11ABC.jpg,12,99,591,114,613
train_images\11ABC.jpg,12,99,552,112,574
train_images\11ABC.jpg,12,99,511,112,539
train_images\11ABC.jpg,12,99,473,112,500
train_images\11ABC.jpg,12,99,436,112,460
train_images\11ABC.jpg,12,99,397,114,423
train_images\11ABC.jpg,12,101,362,112,388
train_images\11ABC.jpg,12,101,324,114,351
train_images\11ABC.jpg,12,97,289,114,311
train_images\11ABC.jpg,12,97,252,112,276
train_images\11ABC.jpg,12,103,217,114,239
train_images\11ABC.jpg,12,101,182,114,202
train_images\11ABC.jpg,12,101,108,114,132
